grouping,G,metric,scenes,mean_difference,median_difference,ci_low,ci_high,log_ci_low,log_ci_high,scene_win_fraction,scene_tie_fraction,bootstrap_sign_tail,holm_primary_bootstrap_sign_tail
prefix,16,medoid_radius_P90,5000,-0.00029164868358432254,0.0014953552254522995,-0.0019588828866264523,0.0013369814320615598,-0.0019190125253614116,0.0013828250539568178,0.5158,0.0,0.6904365211596135,
prefix,16,covariance_effective_rank,5000,-0.014574214991590156,-0.010585417119514773,-0.017380452560159264,-0.011937195879478038,-0.017493826634292643,-0.011726287456065866,0.4504,0.0,0.0006664445184938354,
prefix,16,safe_pairwise_ADE,4818,0.004975060380223324,0.0019176655115745733,0.0024385976179268753,0.0076352111269691915,0.0022565835757409995,0.007723275657427266,0.523038605230386,0.0,0.0006664445184938354,
prefix,16,same_outcome_pair_ADE,5000,0.003407435144944295,0.002248524349178549,0.0020246275507898137,0.004798481152501491,0.002013648963377599,0.004774577227613066,0.5298,0.0,0.0006664445184938354,
prefix,16,different_outcome_pair_ADE,3716,0.012016040071332078,0.008539719500212817,0.00920775888740685,0.01502237832761751,0.009204461976685618,0.015121050851146024,0.5635091496232508,0.0,0.0006664445184938354,
prefix,16,safety_pattern_count,5000,-0.2054,0.0,-0.227405,-0.1838,-0.23132399081641855,-0.179132248274732,0.1204,0.5952,0.0006664445184938354,
prefix,16,safety_pattern_entropy,5000,-0.1133846741104378,-0.05012974069252596,-0.12067183136780284,-0.10641233658484596,-0.12220145507370274,-0.10450238189689129,0.216,0.256,0.0006664445184938354,
prefix,16,effective_safety_patterns,5000,-0.22475092305682756,-0.12059442751278704,-0.24089026945003755,-0.20918714717810505,-0.2439004356640971,-0.2058014415553965,0.216,0.256,0.0006664445184938354,
prefix,16,safety_pattern_disagreement,5000,-0.07511666666666668,-0.033333333333333326,-0.07953541666666666,-0.07076283333333333,-0.08044914793176706,-0.06954333164628156,0.2086,0.2582,0.0006664445184938354,0.005331556147950683
prefix,16,component_tradeoff_pair_fraction,5000,-0.009863333333333333,-0.008333333333333331,-0.012747208333333334,-0.006967666666666664,-0.013502091119970394,-0.0059925657023599385,0.369,0.1186,0.0006664445184938354,
prefix,16,pareto_fraction,5000,0.056625,0.0,0.0530371875,0.0603878125,0.05286657521339098,0.06053846599381187,0.4774,0.3426,0.0006664445184938354,
prefix,16,dominated_sample_fraction,5000,-0.056625,0.0,-0.0603878125,-0.0530371875,-0.06053846599381187,-0.05286657521339097,0.18,0.3426,0.0006664445184938354,
prefix,16,safe_EP_mean,4888,0.03286291229958655,0.013123881644241886,0.03113549689537487,0.034594246556453205,0.030589522719215376,0.035217786583580574,0.6252045826513911,0.20233224222585924,0.0006664445184938354,
prefix,16,safe_EP_std,4818,-0.0072679721011723675,-0.0002695154914611614,-0.008003794045445121,-0.006560425752994475,-0.008090840118322493,-0.006468997203502837,0.28933167289331674,0.20174346201743462,0.0006664445184938354,
prefix,16,safe_EP_headroom,4888,-0.01438727833395301,-1.820391337586935e-05,-0.01584145711219113,-0.012917391529404456,-0.016010402664462256,-0.012842811361380473,0.29541734860883795,0.20437806873977088,0.0006664445184938354,0.005331556147950683
prefix,16,safe_EP_opportunity,5000,0.0,0.0,-0.0064,0.0062,-0.006280819569131542,0.006312138988625319,0.0274,0.9452,0.9990003332222592,1.0
prefix,16,safe_PDMS_headroom,4888,-0.3342607658237856,-0.13536387017177276,-0.4124415723485443,-0.25942193913983874,-0.40986888363427837,-0.2576133226301012,0.4339198036006547,0.03805237315875614,0.0006664445184938354,
prefix,16,best_safe_PDMS,4888,1.0242622929214478,0.0,0.9516939095855151,1.098939344628557,0.9351124597280547,1.1147877239307673,0.4247135842880524,0.48629296235679215,0.0006664445184938354,
prefix,16,zero_advantage_group,5000,0.0004,0.0,-0.001,0.0018,-0.0009756145160983226,0.0017878782134368996,0.0014,0.9976,0.667777407530823,1.0
