checkpoint,n_rollouts,repeat,pairwise_ADE,spread_auc,hit8_1
grpo_9041,32,45,0.17080492,0.14383797,0.46975
grpo_9041,32,46,0.17035319,0.14346988,0.472
grpo_9041,32,47,0.17016721,0.14334714,0.471
grpo_9041,32,48,0.17041096,0.14346528,0.47125
grpo_9041,32,49,0.17083016,0.14385583,0.46975
grpo_9041,32,50,0.17081761,0.14391732,0.47025
grpo_9041,32,51,0.17036852,0.14352818,0.47025
grpo_9041,32,52,0.17006388,0.1431438,0.47
grpo_9041,32,53,0.17059545,0.14364219,0.47075
grpo_9041,32,54,0.16982616,0.14298677,0.4685
grpo_9041,32,55,0.1706354,0.14367133,0.47125
grpo_9041,32,56,0.17105542,0.14408451,0.47175
grpo_9041,32,57,0.17042236,0.14347075,0.47125
grpo_9041,32,58,0.170836,0.14392085,0.47
grpo_9041,32,59,0.17042005,0.14343818,0.47
grpo_9041,32,60,0.17107591,0.14406693,0.469
grpo_9041,32,61,0.17127278,0.1442037,0.46925
grpo_9041,32,62,0.17067482,0.14379357,0.46875
grpo_9041,32,63,0.17076486,0.1438173,0.46775
grpo_9041,32,64,0.17055821,0.14364451,0.46875
grpo_9041,32,65,0.17027274,0.14335597,0.4705
grpo_9041,32,66,0.1703602,0.14348459,0.47025
grpo_9041,32,67,0.17058003,0.14369719,0.47125
grpo_9041,32,68,0.17062785,0.1436749,0.47225
grpo_9041,32,69,0.17068256,0.1437676,0.47025
grpo_9041,32,70,0.1705679,0.14355305,0.4725
grpo_9041,32,71,0.17050524,0.14358546,0.47025
grpo_9041,32,72,0.1702978,0.14342184,0.4705
grpo_9041,32,73,0.17017315,0.14326485,0.46875
grpo_9041,32,74,0.1707277,0.14378588,0.47075
grpo_9041,32,75,0.17077464,0.14379165,0.473
grpo_9041,32,76,0.16970442,0.14285296,0.47175
grpo_9041,32,77,0.17086402,0.1438671,0.4705
grpo_9041,32,78,0.17069207,0.14373757,0.474
grpo_9041,32,79,0.17072289,0.14385639,0.4735
grpo_9041,32,80,0.16993073,0.14304312,0.471
grpo_9041,32,81,0.17064548,0.14367522,0.4705
grpo_9041,32,82,0.1695888,0.14282845,0.47075
grpo_9041,32,83,0.17063566,0.14366338,0.469
grpo_9041,32,84,0.17050147,0.14361897,0.469
grpo_9041,32,85,0.17044319,0.14354348,0.47325
grpo_9041,32,86,0.17083625,0.1438824,0.47175
grpo_9041,32,87,0.1705998,0.14369011,0.46975
grpo_9041,32,88,0.17113928,0.1440936,0.46875
grpo_9041,32,89,0.17066273,0.14370443,0.473
grpo_9041,32,90,0.17088182,0.14394777,0.4705
grpo_9041,32,91,0.16985999,0.14301537,0.47
grpo_9041,32,92,0.16981278,0.14306329,0.47075
grpo_9041,32,93,0.17047586,0.14348483,0.4725
grpo_9041,32,94,0.17091939,0.14392406,0.4705
grpo_9041,32,95,0.17023969,0.14335562,0.471
grpo_9041,32,96,0.17052896,0.14359967,0.47175
grpo_9041,32,97,0.17038403,0.14348608,0.47175
grpo_9041,32,98,0.17029607,0.14332984,0.469
grpo_9041,32,99,0.17030391,0.14334555,0.473
grpo_9041,64,0,0.17047846,0.14401838,0.47075
grpo_9041,64,1,0.17047846,0.14401838,0.47025
grpo_9041,64,2,0.17047846,0.14401838,0.470125
grpo_9041,64,3,0.17047846,0.14401838,0.4705
grpo_9041,64,4,0.17047846,0.14401838,0.470875
grpo_9041,64,5,0.17047846,0.14401838,0.47025
grpo_9041,64,6,0.17047846,0.14401838,0.470125
